name,transaction_type,amount,balance,time_of_transaction,dynamic_balance,,username
Sunita Sharma,incoming,641.94,3771.07,01-01-2025 00:06,4413.01,,sunita.sharma
Sunita Singh,incoming,243.74,2593.5,01-01-2025 00:07,2837.24,,sunita.singh
Anjali Reddy,incoming,853.86,9528.64,01-01-2025 00:20,10382.5,,anjali.reddy
Rajesh Chopra,outgoing,914.93,8320.47,01-01-2025 00:47,7405.54,,rajesh.chopra
Rajesh Gupta,incoming,531.21,6489.36,01-01-2025 00:50,7020.57,,rajesh.gupta
Rahul Mehta,outgoing,733.4,2868.9,01-01-2025 00:59,2135.5,,rahul.mehta
Anjali Iyer,outgoing,732.15,8721.65,01-01-2025 01:00,7989.5,,anjali.iyer
Priya Iyer,outgoing,720.71,3544.62,01-01-2025 01:00,2823.91,,priya.iyer
Rohit Iyer,incoming,306.84,1195.89,01-01-2025 01:01,1502.73,,rohit.iyer
Sunita Sharma,outgoing,415.54,3662.34,01-01-2025 01:12,3246.8,,sunita.sharma
Rajesh Mehta,incoming,390.38,1995.25,01-01-2025 01:20,2385.63,,rajesh.mehta
Rohit Reddy,incoming,226.81,7241.19,01-01-2025 01:32,7468,,rohit.reddy
Kavita Chopra,outgoing,117.04,1711.39,01-01-2025 01:42,1594.35,,kavita.chopra
Priya Iyer,outgoing,563.05,9060.55,01-01-2025 02:00,8497.5,,priya.iyer
Rohit Singh,incoming,458.61,8851.26,01-01-2025 02:13,9309.87,,rohit.singh
Anjali Singh,incoming,851.77,4595.02,01-01-2025 02:19,5446.79,,anjali.singh
Kavita Mehta,outgoing,193.19,5320.42,01-01-2025 02:21,5127.23,,kavita.mehta
Priya Sharma,outgoing,845.63,5839.86,01-01-2025 02:27,4994.23,,priya.sharma
Anjali Reddy,outgoing,391.35,4834.63,01-01-2025 02:32,4443.28,,anjali.reddy
Sanjay Nair,incoming,261.34,5581.01,01-01-2025 02:47,5842.35,,sanjay.nair
Rahul Sharma,outgoing,654.83,2887.95,01-01-2025 02:52,2233.12,,rahul.sharma
Sunita Gupta,outgoing,322.4,4293.44,01-01-2025 03:03,3971.04,,sunita.gupta
Rajesh Nair,outgoing,370.75,2777.79,01-01-2025 03:09,2407.04,,rajesh.nair
Amit Iyer,incoming,635.17,9906.53,01-01-2025 03:13,10541.7,,amit.iyer
Anjali Reddy,incoming,641.26,9153.18,01-01-2025 03:17,9794.44,,anjali.reddy
Sunita Reddy,incoming,432.14,8546.87,01-01-2025 03:18,8979.01,,sunita.reddy
Priya Reddy,outgoing,338.19,1816.35,01-01-2025 03:23,1478.16,,priya.reddy
Deepak Patel,outgoing,524.88,1328.52,01-01-2025 03:29,803.64,,deepak.patel
Priya Singh,outgoing,854.73,6228.88,01-01-2025 03:30,5374.15,,priya.singh
Priya Singh,outgoing,745.6,4469.92,01-01-2025 03:31,3724.32,,priya.singh
Rohit Singh,incoming,436.83,2864.32,01-01-2025 03:38,3301.15,,rohit.singh
Sanjay Singh,outgoing,927.42,3397.67,01-01-2025 03:43,2470.25,,sanjay.singh
Anjali Singh,incoming,115.07,3511.43,01-01-2025 04:04,3626.5,,anjali.singh
Rohit Patel,incoming,782.96,7671.8,01-01-2025 04:04,8454.76,,rohit.patel
Anjali Sharma,incoming,976.95,1229.32,01-01-2025 04:10,2206.27,,anjali.sharma
Rahul Reddy,outgoing,532.28,3350.42,01-01-2025 04:15,2818.14,,rahul.reddy
Deepak Nair,outgoing,343.89,4498.05,01-01-2025 04:29,4154.16,,deepak.nair
Deepak Reddy,outgoing,750.42,7768.65,01-01-2025 04:36,7018.23,,deepak.reddy
Kavita Patel,outgoing,862.95,1656.52,01-01-2025 04:37,793.57,,kavita.patel
Rohit Singh,incoming,327.01,5444.93,01-01-2025 04:37,5771.94,,rohit.singh
Deepak Nair,incoming,859.33,8305.44,01-01-2025 04:39,9164.77,,deepak.nair
Rahul Mehta,outgoing,416.2,3974.82,01-01-2025 04:43,3558.62,,rahul.mehta
Deepak Singh,incoming,207.82,7703.89,01-01-2025 04:53,7911.71,,deepak.singh
Rajesh Iyer,incoming,316.06,7136.99,01-01-2025 04:55,7453.05,,rajesh.iyer
Rajesh Gupta,outgoing,193.67,6198.36,01-01-2025 05:07,6004.69,,rajesh.gupta
Sunita Verma,outgoing,304.53,5425.97,01-01-2025 05:12,5121.44,,sunita.verma
Rahul Nair,outgoing,764.86,3857.32,01-01-2025 05:15,3092.46,,rahul.nair
Sunita Sharma,incoming,563.64,8077.2,01-01-2025 05:20,8640.84,,sunita.sharma
Sanjay Iyer,incoming,261.68,4759.96,01-01-2025 05:23,5021.64,,sanjay.iyer
Rohit Singh,incoming,829.65,6374.31,01-01-2025 05:24,7203.96,,rohit.singh
Sanjay Mehta,outgoing,424.37,5278.88,01-01-2025 05:42,4854.51,,sanjay.mehta
Rajesh Mehta,outgoing,205.79,9210.48,01-01-2025 05:44,9004.69,,rajesh.mehta
Rahul Reddy,incoming,683.3,8645.68,01-01-2025 05:48,9328.98,,rahul.reddy
Deepak Patel,outgoing,577.59,3890.75,01-01-2025 05:51,3313.16,,deepak.patel
Sunita Iyer,outgoing,758.96,7824.74,01-01-2025 05:51,7065.78,,sunita.iyer
Rajesh Verma,incoming,779.14,1944.88,01-01-2025 06:01,2724.02,,rajesh.verma
Sunita Iyer,outgoing,591.34,2502.17,01-01-2025 06:02,1910.83,,sunita.iyer
Rohit Singh,outgoing,708.71,9714.23,01-01-2025 06:10,9005.52,,rohit.singh
Kavita Singh,incoming,571.99,9692.22,01-01-2025 06:12,10264.21,,kavita.singh
Sanjay Patel,outgoing,491.23,2237.43,01-01-2025 06:15,1746.2,,sanjay.patel
Anjali Chopra,outgoing,448.9,7752.35,01-01-2025 06:19,7303.45,,anjali.chopra
Rajesh Patel,incoming,597.38,5499.31,01-01-2025 06:26,6096.69,,rajesh.patel
Rohit Verma,outgoing,171.35,9225.42,01-01-2025 06:32,9054.07,,rohit.verma
Priya Sharma,incoming,414.76,4209.44,01-01-2025 06:33,4624.2,,priya.sharma
Rajesh Iyer,incoming,448.37,2483.16,01-01-2025 06:33,2931.53,,rajesh.iyer
Sunita Mehta,outgoing,636.81,6628.12,01-01-2025 06:42,5991.31,,sunita.mehta
Sunita Reddy,outgoing,631.03,5765.72,01-01-2025 06:55,5134.69,,sunita.reddy
